listing_url,title,stock_type,price,location,km_driven,fuel_type,transmission,reg_state,other_specs
https://www.cars24.com/buy-used-mahindra-thar-2022-cars-hyderabad-10444193168/,2022 Mahindra Thar,Verified Direct Seller,₹14.40 lakh,Boduppal Hyderabad Telangana,"69,694 km",Diesel,,TS-08,['Auto']
https://www.cars24.com/buy-used-maruti-ertiga-2023-cars-hyderabad-10449174197/,2023 Maruti Ertiga,Verified Direct Seller,₹10.60 lakh,Gachibowli Hyderabad Telangana,"29,444 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-tata-hexa-2018-cars-hyderabad-10446375116/,2018 Tata Hexa,Verified Direct Seller,₹8.65 lakh,Old Bowenpally Secunderabad Telangana,"1,10,355 km",Diesel,Manual,TS-29,[]
https://www.cars24.com/buy-used-maruti-swift-2025-cars-hyderabad-10444875181/,2025 Maruti Swift,Verified Direct Seller,₹8.20 lakh,SV SNR County Hyderabad Telangana,"2,284 km",Petrol,Manual,TG-07,[]
https://www.cars24.com/buy-used-hyundai-creta-2023-cars-hyderabad-10496272195/,2023 Hyundai Creta,Verified Direct Seller,₹13.00 lakh,Hayathnagar_Khalsa Hathiguda Telangana,"24,172 km",Petrol,Manual,,['23-BH']
https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-hyderabad-10495975173/,2020 Hyundai GRAND I10 NIOS,Verified Direct Seller,₹6.10 lakh,opp GHMC commumity Hall Hyderabad,"26,109 km",Petrol,,TS-07,['Auto']
https://www.cars24.com/buy-used-maruti-eeco-2023-cars-hyderabad-10416173154/,2023 Maruti Eeco,Verified Direct Seller,₹5.90 lakh,Bachupally Medchal-Malkajgiri Hyderabad,"45,110 km",Petrol,Manual,TS-15,[]
https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2019-cars-hyderabad-10427894169/,2019 Hyundai GRAND I10 NIOS,Verified Direct Seller,₹5.75 lakh,I-ll-50/9 Begum pet Mohammed ya masjid Telangana hyd Hyderabad,"43,176 km",Petrol,,TS-10,['Auto']
https://www.cars24.com/buy-used-maruti-baleno-2020-cars-hyderabad-10403075170/,2020 Maruti Baleno,Verified Direct Seller,₹6.10 lakh,8th block 1st wingHyderabad Hyderabad,"55,681 km",Petrol,Manual,AP-39,[]
https://www.cars24.com/buy-used-tata-nexon-2018-cars-hyderabad-10419075194/,2018 Tata NEXON,Verified Direct Seller,₹4.90 lakh,Medchal Hyderabad Telangana,"80,544 km",Petrol,Manual,TS-08,[]
https://www.cars24.com/buy-used-tata-punch-2022-cars-hyderabad-10491197161/,2022 Tata PUNCH,Verified Direct Seller,₹6.40 lakh,Hafeezpet Miyapur Mathrusri Nagar,"32,489 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-mahindra-xuv700-2023-cars-hyderabad-10433479193/,2023 Mahindra XUV700,Verified Direct Seller,₹20.00 lakh,Serilingampalle (M) Hyderabad Telangana,"21,530 km",Diesel,,TS-07,['Auto']
https://www.cars24.com/buy-used-tata-nexon-2018-cars-hyderabad-10406699127/,2018 Tata NEXON,Verified Direct Seller,₹4.80 lakh,Car parking Visakanagar phase2 road no5 Hyderabad,"84,415 km",Petrol,Manual,TS-10,[]
https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-hyderabad-10449194162/,2021 Maruti Vitara Brezza,Verified Direct Seller,₹7.73 lakh,Mla colony Mla colony Hyderabad,"72,477 km",Petrol,Manual,TS-09,[]
https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-hyderabad-10463294160/,2017 Hyundai Xcent,Verified Direct Seller,₹3.40 lakh,Indira Nagar Gachibowli K.V.Rangareddy,"1,07,329 km",Petrol,Manual,JH-05,[]
https://www.cars24.com/buy-used-maruti-eeco-2018-cars-hyderabad-10497378154/,2018 Maruti Eeco,Verified Direct Seller,₹3.20 lakh,ATTAPUR WARD OFFICE GHMC Rambagh Colony Hyderabad Telangana,"1,19,560 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-skoda-kodiaq-2018-cars-hyderabad-10428592101/,2018 Skoda Kodiaq,Verified Direct Seller,₹16.83 lakh,Madhapur Hyderabad Telangana,"81,494 km",Diesel,,TS-08,['Auto']
https://www.cars24.com/buy-used-honda-city-2017-cars-hyderabad-10466394104/,2017 Honda City,Verified Direct Seller,₹6.50 lakh,Asifnagar Hyderabad Hyderabad,"67,093 km",Petrol,Manual,KA-05,[]
https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-hyderabad-10440392164/,2018 Mahindra XUV500,Verified Direct Seller,₹9.20 lakh,Gowliguda Hyderabad Telangana,"1,78,174 km",Diesel,,TS-11,['Auto']
https://www.cars24.com/buy-used-tata-curvv-2025-cars-hyderabad-10452277194/,2025 Tata Curvv,Verified Direct Seller,₹10.00 lakh,Provident Kenworth Provident Kenworth Hyderabad,"36,956 km",Petrol,Manual,PY-05,[]
https://www.cars24.com/buy-used-tata-nexon-2017-cars-hyderabad-10401579173/,2017 Tata NEXON,Verified Direct Seller,₹4.70 lakh,Gudes residency block A Gudes residency block A Hyderabad,"1,80,176 km",Diesel,Manual,TS-05,[]
https://www.cars24.com/buy-used-tata-safari-2022-cars-hyderabad-10463175173/,2022 Tata Safari,Verified Direct Seller,₹16.50 lakh,Hyderabad Hyderabad Hyderabad,"13,778 km",Diesel,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-hyderabad-10450692105/,2019 Hyundai Elite i20,Verified Direct Seller,₹5.50 lakh,Koti Hyderabad,"68,425 km",Petrol,Manual,TS-08,[]
https://www.cars24.com/buy-used-mg-hector-2019-cars-hyderabad-10400995102/,2019 MG HECTOR,Verified Direct Seller,₹9.50 lakh,Narsingi Nanakramguda HYDERABAD,"55,452 km",Petrol,,TS-07,['Auto']
https://www.cars24.com/buy-used-mahindra-thar-2023-cars-hyderabad-10471478153/,2023 Mahindra Thar,Verified Direct Seller,₹14.80 lakh,Boduppal Hyderabad Telangana,"55,491 km",Diesel,Manual,TS-08,[]
https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2022-cars-hyderabad-10484678194/,2022 Hyundai GRAND I10 NIOS,Verified Direct Seller,₹6.00 lakh,Rai Durg Hyderabad Telangana,"70,754 km",Diesel,,TS-09,['Auto']
https://www.cars24.com/buy-used-maruti-ciaz-2020-cars-hyderabad-10488294167/,2020 Maruti Ciaz,Verified Direct Seller,₹6.50 lakh,Nampally Hyderabad Telangana,"65,941 km",Petrol,Manual,TS-09,[]
https://www.cars24.com/buy-used-honda-amaze-2016-cars-hyderabad-10468473171/,2016 Honda Amaze,Verified Direct Seller,₹4.20 lakh,Old Bowenpally Secunderabad Telangana,"43,933 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10415071175/,2022 Hyundai VENUE,Verified Direct Seller,₹8.50 lakh,Green Park Pet Basheerbad Beside HDFC bank,"88,694 km",Diesel,Manual,TS-08,[]
https://www.cars24.com/buy-used-maruti-celerio-2017-cars-hyderabad-10444775175/,2017 Maruti Celerio,Verified Direct Seller,₹4.30 lakh,Devistana homes villa no 57 kukatpally,"18,364 km",Petrol,,TS-08,['Auto']
https://www.cars24.com/buy-used-renault-kwid-2017-cars-hyderabad-10422590161/,2017 Renault Kwid,Verified Direct Seller,₹2.30 lakh,Bharat Heavy Electricals Limited Hyderabad Telangana,"78,788 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-hyderabad-10445772195/,2016 Hyundai Grand i10,Verified Direct Seller,₹3.35 lakh,GB RESIDENCY NIZAMPET,"84,417 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-maruti-baleno-2024-cars-hyderabad-10428472197/,2024 Maruti Baleno,Verified Direct Seller,₹8.30 lakh,JVK Homes Jv Colony Gachibowli K.V.Rangareddy,"34,162 km",CNG,Manual,TG-04,[]
https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-hyderabad-10480579157/,2014 Volkswagen Polo,Verified Direct Seller,₹2.70 lakh,Kala Dera Opposite football ground Hyderabad,"1,31,185 km",Diesel,Manual,TS-10,[]
https://www.cars24.com/buy-used-maruti-brezza-2024-cars-hyderabad-10459378192/,2024 Maruti BREZZA,Verified Direct Seller,₹10.00 lakh,Near prakash Talkies Near Hanuman mandir Hyderabad,"30,416 km",Petrol,Manual,TG-13,[]
